PROD ID,SUG,ID,SUG MUZAR,SHM MUZAR,MISPAR HEVRA,SHM HEVRA,YITRAT NEHASIM,MENAYOT,AGAH CONC,AGAH MMSL,HALVAAOT LS,KRANOT LS,AHER,MEZUMAN_PIKDONOT,MATAH,HUL
44-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח בעמ מניות,ביטוח,44,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ מניות",ללא,0,449.0621,99.14,0,0,0,0.824830241,1.075040624,18.24863421,31.18,69.19
47-פוליסות שהונפקו משנת 2004 ואילך-הפניקס-מסלול השקעה מתמחה אגח,ביטוח,47,פוליסות שהונפקו משנת 2004 ואילך,"הפניקס-מסלול השקעה מתמחה אג""ח",ללא,0,934.72743,0.23,49.08707986,35.00180796,6.873939711,3.144702836,0.574317157,5.027679566,12.97,16.33
50-פוליסות שהונפקו משנת 2004 ואילך-הפניקס מסלול השקעה כללי,ביטוח,50,פוליסות שהונפקו משנת 2004 ואילך,הפניקס מסלול השקעה כללי,ללא,0,18463.11391,42.77,13.66475185,8.166972307,13.03305722,18.41958684,2.692005273,15.7983979,24.89,46.82
57-פוליסות שהונפקו משנת 2004 ואילך-הכשרה-אגח ממשלת ישראל,ביטוח,57,פוליסות שהונפקו משנת 2004 ואילך,"הכשרה-אג""ח ממשלת ישראל",ללא,0,419.90609,1.51,9.731128215,75.79142279,1.17814438,6.31788884,1.151781342,1.967582799,6.11,17.6
58-פוליסות שהונפקו משנת 2004 ואילך-הכשרה-מסלולית מניות,ביטוח,58,פוליסות שהונפקו משנת 2004 ואילך,הכשרה-מסלולית מניות,ללא,0,335.88816,95.29,1.964076376,6.025428226,0.27351366,7.25786226,1.226092638,7.425090542,37.94,75.32
62-פוליסות שהונפקו משנת 2004 ואילך-הכשרב ביטוח- כללי,ביטוח,62,פוליסות שהונפקו משנת 2004 ואילך,"הכשרה חברה לביטוח בע""מ- כללי",ללא,0,4350.43693,45.8,14.96947112,20.51000886,1.526214517,17.73891249,5.603402691,11.06317613,23.14,50.8
68-פוליסות שהונפקו משנת 2004 ואילך-מגדל מסלול אגח ממשלת ישראל,ביטוח,68,פוליסות שהונפקו משנת 2004 ואילך,"מגדל מסלול אג""ח ממשלת ישראל",ללא,0,478.64542,0,4.966306791,92.00505878,0,0,0.001044615,3.027585639,0.01,0.01
76-פוליסות שהונפקו משנת 2004 ואילך-מגדל מסלול מניות,ביטוח,76,פוליסות שהונפקו משנת 2004 ואילך,מגדל מסלול מניות,ללא,0,3376.95347,99.25,0,4.994945933,0,0.113593511,0.060646379,27.80987385,31.69,61.25
88-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול כללי,ביטוח,88,פוליסות שהונפקו משנת 2004 ואילך,הראל מסלול כללי,ללא,0,20993.12663,43.38,12.64299,15.59476184,14.33004884,16.20454904,2.067336646,9.48916393,21.68,56.42
89-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול אגח ללא מניות,ביטוח,89,פוליסות שהונפקו משנת 2004 ואילך,"הראל מסלול אג""ח ללא מניות",ללא,0,1009.76149,3.52,24.55526404,33.95581069,22.70444083,4.495427925,0.918028672,9.827825777,9.99,19.2
90-פוליסות שהונפקו משנת 2004 ואילך-הראל אגח עד 20% מניות,ביטוח,90,פוליסות שהונפקו משנת 2004 ואילך,"הראל אג""ח עד 20% מניות",ללא,0,5300.77368,12.62,28.5710538,24.11570984,15.10921704,16.76513192,0.871780287,5.955740031,18.06,35.68
91-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול אגח עד 10% במניות,ביטוח,91,פוליסות שהונפקו משנת 2004 ואילך,"הראל מסלול אג""ח עד 10% במניות",ללא,0,1173.41169,4.47,31.95038052,22.84422443,13.17122552,20.14160094,0.505048659,6.922276358,11.04,32.8
92-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול מניות,ביטוח,92,פוליסות שהונפקו משנת 2004 ואילך,הראל מסלול מניות,ללא,0,2684.93925,97.88,0.088203113,6.754845571,0,11.34121377,0.345110229,13.67842494,31.82,84.98
93-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול שיקלי טווח קצר,ביטוח,93,פוליסות שהונפקו משנת 2004 ואילך,הראל מסלול שיקלי טווח קצר,ללא,0,836.01654,0,0.25422942,86.89746736,0.157496884,0,0.052522884,12.6382667,0,0.04
98-פוליסות שהונפקו משנת 2004 ואילך-אי.די.אי.-אגח 80,ביטוח,98,פוליסות שהונפקו משנת 2004 ואילך,"איי.די.איי. מסלול אג""ח",ללא,0,78.24534,4.77,32.81767323,40.30795955,4.777920321,15.58482588,0,1.745407458,13.82,9.18
99-פוליסות שהונפקו משנת 2004 ואילך-כלל ביטוח כללי,ביטוח,99,פוליסות שהונפקו משנת 2004 ואילך,"כלל חברה לביטוח בע""מ כללי",ללא,0,12949.65194,44.19,23.01872215,9.302962007,8.450457241,16.55574381,3.996871131,5.163103249,24.76,53.61
101-תגמולים ואישית לפיצויים-הראל פנסיה וגמל בעמ,גמל,101,תגמולים ואישית לפיצויים,"הראל אג""ח עד 25% מניות",512267592,"הראל פנסיה וגמל בע""מ",8340.7,19.23,21.727,32.1,14.592,14.086,2.107,8.007,18.45,34.89
101-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח בעמ מניות בחול,ביטוח,101,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ מניות בחו""ל",ללא,0,492.88534,97.13,0,8.854006492,0,0,-0.008561829,22.5489766,75.85,101.5
103-תגמולים ואישית לפיצויים-מיטב גמל ופנסיה בעמ,גמל,103,תגמולים ואישית לפיצויים,מיטב גמל לבני  50-60,512065202,"מיטב גמל ופנסיה בע""מ",13252.38,40.82,23.503,18.119,6.622,13.436,1.554,5.687,25.17,48.99
103-פוליסות שהונפקו משנת 2004 ואילך-הפניקס-אקסלנס אינווסט תיק מנוהל אגח 2,ביטוח,103,פוליסות שהונפקו משנת 2004 ואילך,"הפניקס-אקסלנס אינווסט תיק מנוהל אג""ח 2",ללא,0,196.00365,12.29,48.22961205,32.34511194,0,0,2.08710399,6.864106867,13.81,14.32
104-פוליסות שהונפקו משנת 2004 ואילך-הפניקס-אקסלנס אינווסט מסלול השקעה אגח עד 25% מניות,ביטוח,104,פוליסות שהונפקו משנת 2004 ואילך,"הפניקס-אקסלנס אינווסט מסלול השקעה  אג""ח עד 25% מניות",ללא,0,173.20138,22.04,44.69612194,30.43387991,0,0,4.039459732,2.109567487,18.37,19.53
108-פוליסות שהונפקו משנת 2004 ואילך-אי.די.אי.-כללי,ביטוח,108,פוליסות שהונפקו משנת 2004 ואילך,אי.די.אי.-כללי,ללא,0,115.76803,39.66,21.53124658,18.29987087,4.34809161,10.64801742,5.177595231,5.508342847,25.3,32.23
114-פוליסות שהונפקו משנת 2004 ואילך-איילון מסלול אגח,ביטוח,114,פוליסות שהונפקו משנת 2004 ואילך,"איילון מסלול אג""ח",ללא,0,117.10069,0,55.63366023,35.42583737,3.760182797,1.230735703,0.084884214,3.86462283,6.3,8.95
115-פוליסות שהונפקו משנת 2004 ואילך-איילון מסלול מניות,ביטוח,115,פוליסות שהונפקו משנת 2004 ואילך,איילון מסלול  מניות,ללא,0,74.13084,97.04,0,0,0,2.686061564,0.389176758,7.355238387,28.35,52.27
116-פוליסות שהונפקו משנת 2004 ואילך-איילון- כללי,ביטוח,116,פוליסות שהונפקו משנת 2004 ואילך,איילון- כללי,ללא,0,1310.0126,43.94,27.71290902,5.507916489,6.34384738,14.85015488,1.71942621,1.7457084,23.45,38.3
117-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,117,תגמולים ואישית לפיצויים,"כלל תמר אג""ח",512244146,"כלל פנסיה וגמל בע""מ",521.96,0.6,47.213,26.289,11.041,6.861,2.919,5.078,11.78,19.23
118-מרכזית לפיצויים-אנליסט קופות גמל בעמ,גמל,118,מרכזית לפיצויים,אנליסט קופה מרכזית לפיצויים מסלול כללי,511880460,"אנליסט קופות גמל בע""מ",333.93,50.56,27.282,26.962,0.012,0.455,-0.008,10.099,27.86,41.35
119-תגמולים ואישית לפיצויים-מנורה מבטחים פנסיה וגמל בעמ,גמל,119,תגמולים ואישית לפיצויים,מנורה מבטחים יותר מסלול ד,512245812,"מנורה מבטחים פנסיה וגמל בע""מ",847.03,26,19.436,19.343,12.12,23.262,0.724,3.708,22.92,43.36
120-תגמולים ואישית לפיצויים-מיטב גמל ופנסיה בעמ,גמל,120,תגמולים ואישית לפיצויים,מיטב ביטחון מבטיח תשואה 4.5%,512065202,"מיטב גמל ופנסיה בע""מ",83.93,0.99,7.69,82.654,0,0.005,4.956,4.014,0.74,1.45
124-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,124,תגמולים ואישית לפיצויים,כלל תמר מדד,512244146,"כלל פנסיה וגמל בע""מ",503.22,0.04,42.528,39.74,7.449,4.349,1.496,4.404,5.56,14.04
127-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,127,תגמולים ואישית לפיצויים,כלל תמר מניות,512244146,"כלל פנסיה וגמל בע""מ",833.32,94.75,0.185,2.158,1.07,1.311,7.769,16.019,33.06,67.95
128-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,128,תגמולים ואישית לפיצויים,כלל תמר שקלי טווח קצר,512244146,"כלל פנסיה וגמל בע""מ",284.21,0,51.519,19.4,1.419,0,3.997,23.665,0,0
141-פוליסות שהונפקו משנת 2004 ואילך-הכשרה-בסט אינווסט-אלטשולר שחם-אגח ממשלתיות,ביטוח,141,פוליסות שהונפקו משנת 2004 ואילך,"הכשרה חברה לביטוח בע""מ-מנוהל באמצעות אלטשולר שחם בע""מ-אג""ח ממשלת ישראל",ללא,0,416.79062,0,17.56987717,76.49747492,0.730822589,0,0.065260586,5.136583928,6.45,11.99
142-פוליסות שהונפקו משנת 2004 ואילך-הכשרה-בסט אינווסט-אלטשולר שחם-מניות,ביטוח,142,פוליסות שהונפקו משנת 2004 ואילך,"הכשרה חברה לביטוח בע""מ -מנוהל באמצעות אלטשולר שחם בע""מ-מניות",ללא,0,472.48636,95.71,0,14.54325581,0,0,5.386060245,15.16191917,42.21,87.3
143-פוליסות שהונפקו משנת 2004 ואילך-הכשרה-בסט אינווסט-אלטשולר שחם-כללי,ביטוח,143,פוליסות שהונפקו משנת 2004 ואילך,הכשרה-בסט אינווסט-אלטשולר שחם-כללי,ללא,0,2524.94098,48.14,17.72583215,39.26805053,2.584721802,0.175469448,4.061714742,6.652377277,24.86,51.66
152-מרכזית לפיצויים-כלל פנסיה וגמל בעמ,גמל,152,מרכזית לפיצויים,כלל ברזל,512244146,"כלל פנסיה וגמל בע""מ",230.75,0.09,60.322,25.607,4.649,3.134,1.811,4.385,11.74,13.89
154-קרנות השתלמות-הראל פנסיה וגמל בעמ,גמל,154,קרנות השתלמות,הראל השתלמות כללי,512267592,"הראל פנסיה וגמל בע""מ",13144.65,42.33,11.34,15.914,16.208,14.553,0.733,9.739,22.55,51.37
155-מרכזית לפיצויים-הראל פנסיה וגמל בעמ,גמל,155,מרכזית לפיצויים,"הראל קמ""פ מסלול כללי",512267592,"הראל פנסיה וגמל בע""מ",1076.6,44.74,12.897,22.68,13.348,8.824,0.431,10.726,21.62,49.22
163-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול חול,ביטוח,163,פוליסות שהונפקו משנת 2004 ואילך,"הראל מסלול חו""ל",ללא,0,2737.56671,41.95,34.44024566,22.32225055,0.657087184,3.949660829,0.019542903,16.3796739,93.74,93.85
164-פוליסות שהונפקו משנת 2004 ואילך-איילון מסלול שקלי,ביטוח,164,פוליסות שהונפקו משנת 2004 ואילך,איילון מסלול שקלי,ללא,0,26.38392,0,30.8282469,67.4137884,0.412372384,0,0,1.345137493,0,0
177-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול אגח ממשלת ישראל,ביטוח,177,פוליסות שהונפקו משנת 2004 ואילך,"הראל מסלול אג""ח ממשלת ישראל",ללא,0,198.05944,0,0,92.76452564,5.04899E-05,0,-0.025093477,7.18087459,0,0
178-פוליסות שהונפקו משנת 2004 ואילך-הראל מסלול אגח קונצרני,ביטוח,178,פוליסות שהונפקו משנת 2004 ואילך,"הראל מסלול אג""ח קונצרני",ללא,0,317.1323,0.23,70.20927859,0.491277615,18.91298994,0.91744045,0.689270692,8.55053238,9.69,26.85
180-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח אגח ממשלת ישראל,ביטוח,180,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ אג""ח ממשלת ישראל",ללא,0,197.41332,0,0,97.84962838,0,0,-0.014335406,2.164646236,0,0.04
181-פוליסות שהונפקו משנת 2004 ואילך-מנורה מבטחים ביטוח אגח ממשלת ישראל צמוד מדד,ביטוח,181,פוליסות שהונפקו משנת 2004 ואילך,"מנורה מבטחים ביטוח בע""מ אג""ח ממשלת ישראל צמוד מדד",ללא,0,0.00002,0,0,0,0,0,0,0,0,0
184-פוליסות שהונפקו משנת 2004 ואילך-מנורה ביטוח מבטחים ביטוח מסלול הלכה,ביטוח,184,פוליסות שהונפקו משנת 2004 ואילך,מנורה ביטוח מבטחים ביטוח מסלול הלכה,ללא,0,96.31918,45.33,34.19277448,17.40930519,0,0,0.770770681,2.294973857,24.73,39.35
185-פוליסות שהונפקו משנת 2004 ואילך-מגדל מסלול הלכה,ביטוח,185,פוליסות שהונפקו משנת 2004 ואילך,מגדל מסלול הלכה,ללא,0,677.02445,45.15,34.1184133,20.98609585,0,0,0.092611131,11.48547885,24.12,36.74
195-פוליסות שהונפקו בשנים 1992 - 2003-הראל מסלול משתתף ברווחים שקלי טווח קצר,ביטוח,195,פוליסות שהונפקו בשנים 1992 - 2003,הראל מסלול משתתף ברווחים שקלי טווח קצר,ללא,0,56.45035,0,0.254205687,86.89742402,0.157483523,0,0.052435459,12.63818559,0,0.04
196-פוליסות שהונפקו בשנים 1992 - 2003-הראל-מסלול משתתף ברווחים כללי לא מניות,ביטוח,196,פוליסות שהונפקו בשנים 1992 - 2003,הראל-מסלול משתתף ברווחים כללי לא מניות,ללא,0,58.80179,3.52,24.55520487,33.95576903,22.70424081,4.495611443,0.917829202,9.827762046,9.99,19.2
197-פוליסות שהונפקו בשנים 1992 - 2003-הראל-מסלול משתתף ברווחים מניות,ביטוח,197,פוליסות שהונפקו בשנים 1992 - 2003,הראל-מסלול משתתף ברווחים מניות,ללא,0,163.56406,97.88,0.088161177,6.754906915,0,11.34124453,0.345124717,13.67843278,31.82,84.98
199-קרנות השתלמות-מגדל מקפת קרנות פנסיה וקופות גמל בעמ,גמל,199,קרנות השתלמות,"מגדל השתלמות אג""ח",512237744,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",453.17,0,44.942,30.944,14.901,2.547,-0.014,6.323,11.6,17.77
205-פוליסות שהונפקו משנת 2004 ואילך-כלל ביטוח כהלכה,ביטוח,205,פוליסות שהונפקו משנת 2004 ואילך,"כלל חברה לביטוח בע""מ כהלכה",ללא,0,195.7167,43.98,36.2561294,14.39831144,1.587345382,0,2.705492173,5.800271515,24.78,36.71
211-תגמולים ואישית לפיצויים-אקסלנס גמל והשתלמות בעמ,גמל,211,תגמולים ואישית לפיצויים,"הפניקס גמל אג""ח עד 15% מניות",513026484,"הפניקס פנסיה וגמל בע""מ",2496.57,11.46,38.1,24.754,8.64,14.512,-0.888,6.202,17.9,31.46
223-תגמולים ואישית לפיצויים-מיטב גמל ופנסיה בעמ,גמל,223,תגמולים ואישית לפיצויים,"מיטב גמל אג""ח ללא מניות",512065202,"מיטב גמל ופנסיה בע""מ",1050.24,0,33.859,36.944,5.899,12.622,1.668,8.899,10.74,23.16
229-תגמולים ואישית לפיצויים-החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בעמ,גמל,229,תגמולים ואישית לפיצויים,קופת התגמולים של עובדי בנק לאומי,520005497,"החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בע""מ",4678.45,38.42,13.906,3.809,0.483,43.959,-0.009,4.448,24.67,48.82
233-מרכזית לפיצויים-חברת ב'ת למ'ד דל'ת בעמ,גמל,233,מרכזית לפיצויים,"בל""ד",510142789,"חברת ב'ת למ'ד דל'ת בע""מ",917.15,33.69,34.135,21.729,0,10.682,0.168,4.539,21.9,41.51
239-מרכזית לפיצויים-כלל פנסיה וגמל בעמ,גמל,239,מרכזית לפיצויים,דיסקונט לפיצויים,512244146,"כלל פנסיה וגמל בע""מ",518.9,40.92,29.4,15.49,5.275,1.575,4.046,12.932,24.87,39.27
241-מרכזית לפיצויים-כלל פנסיה וגמל בעמ,גמל,241,מרכזית לפיצויים,כלל פיצויים למעסיק,512244146,"כלל פנסיה וגמל בע""מ",824.72,40.91,29.801,15.541,5.375,1.729,5.415,10.943,24.86,39.48
242-מרכזית לפיצויים-אקסלנס גמל והשתלמות בעמ,גמל,242,מרכזית לפיצויים,הפניקס מרכזית לפיצויים,513026484,"הפניקס פנסיה וגמל בע""מ",873.44,41.17,27.834,18.473,5.756,4.572,-5.568,16.478,24.42,41.9
253-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,253,תגמולים ואישית לפיצויים,"כלל תמר אג""ח עד 25% מניות",512244146,"כלל פנסיה וגמל בע""מ",8872.76,20.48,37.667,22.055,10.399,12.014,2.515,3.962,20.99,39.45
260-תגמולים ואישית לפיצויים-מנורה מבטחים פנסיה וגמל בעמ,גמל,260,תגמולים ואישית לפיצויים,מנורה מבטחים אמיר כללי,512245812,"מנורה מבטחים פנסיה וגמל בע""מ",480.78,46.31,15.009,9.066,8.975,21.84,0.904,6.852,23.77,55.78
263-תגמולים ואישית לפיצויים-כלל פנסיה וגמל בעמ,גמל,263,תגמולים ואישית לפיצויים,בר,512244146,"כלל פנסיה וגמל בע""מ",4352.77,44.59,24.502,11.749,9.1,13.722,1.749,5.283,24.81,48.22
282-קרנות השתלמות-עגור חברה לניהול קופות גמל וקרנות השתלמות בעמ,גמל,282,קרנות השתלמות,מישור,520024985,"עגור חברה לניהול קופות גמל וקרנות השתלמות בע""מ",566.59,45.2,22.117,6.176,0.247,21.817,-0.042,4.541,26.52,55.22
284-קרנות השתלמות-קרנות השתלמות למורים ולגננות - חברה מנהלת בעמ,גמל,284,קרנות השתלמות,מורים וגננות - מסלול כללי,520027251,"קרנות השתלמות למורים ולגננות - חברה מנהלת בע""מ",934.19,46.3,18.399,13.312,2.463,18.149,1.096,3.563,23.72,48.86
"285-קרנות השתלמות-קרנות השתלמות למורים תיכוניים, מורי סמינרים ומפקחים - חברה מנהלת בעמ",גמל,285,קרנות השתלמות,מורים תיכוניים - מסלול כללי,520028390,"קרנות השתלמות למורים תיכוניים, מורי סמינרים ומפקחים - חברה מנהלת בע""מ",631,46.95,17.092,10.782,2.894,21.826,1.45,2.08,23.75,51.82
286-קרנות השתלמות-מנורה מבטחים והסתדרות המהנדסים ניהול קופות גמל בעמ,גמל,286,קרנות השתלמות,אומגה קרן השתלמות מסלול כללי,520027715,"מנורה מבטחים והסתדרות המהנדסים ניהול קופות גמל בע""מ",1888.77,46.54,18.176,17.529,8.665,7.789,-0.371,11.085,23.83,42.87
288-קרנות השתלמות-החברה לניהול קרן השתלמות לאקדמאים במדעי החברה והרוח בעמ,גמל,288,קרנות השתלמות,קרן השתלמות לאקדמאים במדעי החברה והרוח מסלול כללי,520027954,"החברה לניהול קרן השתלמות לאקדמאים במדעי החברה והרוח בע""מ",2317.07,45.63,23.415,21.104,1.66,5.454,2.455,2.661,25.07,38.93
289-קרנות השתלמות-מיטב גמל ופנסיה בעמ,גמל,289,קרנות השתלמות,קרן השתלמות לעובדי בנק ישראל,512065202,"מיטב גמל ופנסיה בע""מ",159.62,41.43,30.732,22.094,6.94,2.464,1.132,5.301,25.17,42.9
290-קרנות השתלמות-החברה לניהול קרן ההשתלמות להנדסאים וטכנאים בעמ,גמל,290,קרנות השתלמות,הנדסאים וטכנאים - מסלול כללי,520028556,"החברה לניהול קרן ההשתלמות להנדסאים וטכנאים בע""מ",1772.99,43.73,21.969,20.084,2.715,13.535,1.642,5.016,24.67,56.14
292-קרנות השתלמות-החברה לניהול קרן השתלמות למשפטנים בעמ,גמל,292,קרנות השתלמות,השתלמות משפטנים,520028861,"החברה לניהול קרן השתלמות למשפטנים בע""מ",380.11,43.04,27.036,17.968,1.508,8.346,0.256,2.014,23.95,43.33
293-קרנות השתלמות-החברה לניהול קרן השתלמות לביוכימאים ומקרוביולוגים בעמ,גמל,293,קרנות השתלמות,ק.ס.מ,520029620,"החברה לניהול קרן השתלמות לביוכימאים  ומקרוביולוגים בע""מ",253.97,44.61,28.24,20.69,0.496,2.816,1.303,1.863,23.08,48.05
294-קרנות השתלמות-החברה לניהול קרן השתלמות לשופטים בעמ,גמל,294,קרנות השתלמות,השתלמות שופטים,520030743,"החברה לניהול קרן השתלמות לשופטים בע""מ",337.31,41.16,26.299,19.484,3.73,7.097,0.274,2.096,24.07,40.16
295-קרנות השתלמות-ק.ה.ר - קרן השתלמות לרוקחים בעמ,גמל,295,קרנות השתלמות,ק.ה.ר,520030198,"ק.ה.ר - קרן השתלמות לרוקחים בע""מ",112.03,45.9,25.368,25.398,0.918,0,-0.04,2.453,22.06,35.96
299-קרנות השתלמות-החברה המנהלת של מינהל קרן ההשתלמות לפקידים עובדי המנהל והשירותים בעמ,גמל,299,קרנות השתלמות,מינהל-השתלמות - כללי,520030990,"החברה המנהלת של מינהל קרן ההשתלמות לפקידים עובדי המנהל והשירותים בע""מ",841.91,49,2.032,14.575,13.583,16.375,0.179,4.263,22.19,48.01
328-תגמולים ואישית לפיצויים-מיטב גמל ופנסיה בעמ,גמל,328,תגמולים ואישית לפיצויים,נייר אמריקאי,512065202,"מיטב גמל ופנסיה בע""מ",52.53,41.57,32.657,24.727,4.034,1.334,1.131,5.167,25.63,41.5
372-תגמולים ואישית לפיצויים-שיבולת - חברה לניהול קופות גמל בעמ,גמל,372,תגמולים ואישית לפיצויים,שיבולת-תגמולים,520030693,"שיבולת - חברה לניהול קופות גמל בע""מ",861.72,1.2,49.596,24.859,2.762,16.959,2.246,2.377,19.12,11.89
378-קרנות השתלמות-ק.ל.ע. - חברה לניהול קרן השתלמות לעובדים סוציאליים בעמ,גמל,378,קרנות השתלמות,ק.ל.ע מסלול כללי,520030941,"ק.ל.ע. - חברה לניהול קרן השתלמות לעובדים סוציאליים בע""מ",622.21,48.16,17.624,21.654,2.417,12.691,0.711,0.738,23.7,43.76
382-קרנות השתלמות-החברה לניהול קרן ההשתלמות לעובדי המדינה בעמ,גמל,382,קרנות השתלמות,עובדי מדינה - כללי,520032269,"החברה לניהול קרן ההשתלמות לעובדי המדינה בע""מ",2607.01,47.39,20.579,14.166,3.487,15.631,0.383,0.963,25.13,47.62
384-מרכזית לפיצויים-אקסלנס גמל והשתלמות בעמ,גמל,384,מרכזית לפיצויים,הפניקס מרכזית לפיצויים עד 15% מניות,513026484,"הפניקס פנסיה וגמל בע""מ",149.83,11.94,33.202,36.076,8.503,4.584,-1.523,9.612,17.07,24.85
385-תגמולים ואישית לפיצויים-אקסלנס גמל והשתלמות בעמ,גמל,385,תגמולים ואישית לפיצויים,"הפניקס גמל אג""ח ללא מניות",513026484,"הפניקס פנסיה וגמל בע""מ",1083.58,0.07,49.574,33.679,8.681,3.447,0.21,4.351,7.64,13.71
392-קרנות השתלמות-רעות חברה לניהול קופות גמל בעמ,גמל,392,קרנות השתלמות,רעות-כללי,510806870,"רעות חברה לניהול קופות גמל בע""מ",2010.04,43.42,14.681,24.879,3.936,16.245,1.012,2.837,22.1,47.13
394-קרנות השתלמות-עוצמ חברה לניהול קופות גמל והשתלמות בעמ,גמל,394,קרנות השתלמות,"קרן השתלמות עוצ""מ",520031659,"עוצ""מ חברה לניהול קופות גמל והשתלמות בע""מ",56.07,50.28,14.821,20.208,2.873,7.437,0.178,4.202,27.53,40.12
401-תגמולים ואישית לפיצויים-אקסלנס גמל והשתלמות בעמ,גמל,401,תגמולים ואישית לפיצויים,הפניקס גמל לבני 60 ומעלה,513026484,"הפניקס פנסיה וגמל בע""מ",5698.28,22.87,25.559,25.443,8.37,14.746,-2.909,9.987,17.9,37.61
